Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2007 Honda CR-V Rear Middle Seat Belt Buckle,,2007,Honda,CR-V,Diesel,SUV,103,140,2.2 (2204cm³)
2001 Honda CR-V Other Control Module Unit --,--,2001,Honda,CR-V,Petrol,SUV,108,147,2.0 (1973cm³)
2007 Honda CR-V Top Engine Cover,,2007,Honda,CR-V,Diesel,SUV,103,140,2.2 (2204cm³)
2000 Honda CR-V Rear Third Brake STOP Light 050-9245,050-9245,2000,Honda,CR-V,Petrol,SUV,108,147,2.0 (1973cm³)
2005 Honda Civic Dashboard Trim 762706DAE0G,762706DAE0G,2005,Honda,Civic,Petrol,Hatchback,,110,1.6 (1590cm³)
2008 Honda Civic Front Door Interior Handle,,2008,Honda,Civic,Petrol,Hatchback,103,140,1.8 (1799cm³)
2008 Honda Civic Front Door Window Regulator Motor,,2008,Honda,Civic,Mild Hybrid,Saloon,,,1.3 (1339cm³)
2001 Honda HR-V Window Wiper Relay,,2001,Honda,HR-V,Petrol,SUV,,105,1.6 (1590cm³)
2004 Honda CR-V Rear Brake Caliper,,2004,Honda,CR-V,Petrol,SUV,110,150,2.0 (1998cm³)
2010 Honda Civic Rear Door Interior Handle,,2010,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2006 Honda FR-V Tailgate Boot Lid,,2006,Honda,FR-V,Diesel,MPV,103,140,2.2 (2204cm³)
2005 Honda Accord Wheel Center Cap Hub Trim Cover 44732-SA3-J,44732-SA3-J,2005,Honda,Accord,Petrol,Saloon,114,155,2.0 (1998cm³)
2005 Honda CR-V Electric Window Control Switch Button 35750S9AE010M1,35750S9AE010M1,2005,Honda,CR-V,Diesel,SUV,103,140,2.2 (2204cm³)
2004 Honda Jazz Rear Window Wiper Motor,,2004,Honda,Jazz,Petrol,Hatchback,,,1.3 (1339cm³)
2006 Honda Civic Roof Air SRS Bag 34015010A,34015010A,2006,Honda,Civic,Diesel,Hatchback,103,140,2.2 (2204cm³)
2007 Honda Civic Front Bonnet Hood Hinge ES92,ES92,2007,Honda,Civic,Petrol,Hatchback,103,140,1.8 (1799cm³)
