Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2001 Alfa Romeo Spider 5 Speed Manual Gearbox,,2001,Alfa Romeo,Spider,Petrol,Convertible,110,150,2.0 (1970cm³)
1999 Alfa Romeo 166 Rear Door Opening Interior Handle,,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2006 Alfa Romeo 159 Gear Selector Shifter In Gearbox 550506,550506,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2004 Alfa Romeo 156 Tailgate Boot Lid Lock 65005900,65005900,2004,Alfa Romeo,156,Diesel,Saloon,110,150,2.4 (2387cm³)
2005 Alfa Romeo 156 Dismantling cars 841G.000,841G.000,2005,Alfa Romeo,156,Diesel,Saloon,129,175,2.4 (2387cm³)
2011 Alfa Romeo Giulietta Front Door Window Regulator Motor 72019003,72019003,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2007 Alfa Romeo Brera Accelerator Throttle Pedal 60695130,60695130,2007,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
2010 Alfa Romeo MiTo Front Door,,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2006 Alfa Romeo 159 Engine Piston With Connecting Rod,,2006,Alfa Romeo,159,Diesel,Saloon,,120,1.9 (1910cm³)
2010 Alfa Romeo MiTo Seat Belt Warning Indicator Relay 50514495,50514495,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2007 Alfa Romeo 159 Comfort Convenience Control Module Unit 60688447,60688447,2007,Alfa Romeo,159,Diesel,Saloon,,115,1.9 (1910cm³)
2006 Alfa Romeo 159 Engine Camshaft,,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2012 Alfa Romeo Giulietta Interior Heater Radiator N103789T-D,N103789T-D,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2007 Alfa Romeo Brera Brake Servo Booster With Master Cylinder 51782124,51782124,2007,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
2005 Alfa Romeo GT Dismantling cars 937A5.000,937A5.000,2005,Alfa Romeo,GT,Diesel,Coupe,110,150,1.9 (1910cm³)
2006 Alfa Romeo 159 Crankshaft Pulley 55217328,55217328,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
1999 Alfa Romeo 166 Front Door Exterior Handle,,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2006 Alfa Romeo 159 Engine Piston -,-,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2012 Alfa Romeo Giulietta Engine Piston With Connecting Rod 68127,68127,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2009 Alfa Romeo MiTo Fuel Tank Filler Cap Flap Lid Cover B632,B632,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2008 Alfa Romeo 147 Engine Control Module Unit 55189421,55189421,2008,Alfa Romeo,147,Diesel,Hatchback,,115,1.9 (1910cm³)
1999 Alfa Romeo 166 Rear Seat Belt Buckle 260199,260199,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2004 Alfa Romeo 156 EGR Valve 7.22946.15,7.22946.15,2004,Alfa Romeo,156,Diesel,Saloon,110,150,1.9 (1910cm³)
2004 Alfa Romeo 156 Brake Vacuum Pump 46771105,46771105,2004,Alfa Romeo,156,Diesel,Saloon,110,150,1.9 (1910cm³)
2007 Alfa Romeo 147 A/C Air Conditioning Compressor Pump 447220-8644,447220-8644,2007,Alfa Romeo,147,Diesel,Hatchback,110,150,1.9 (1910cm³)
2006 Alfa Romeo 159 Engine Connecting Rod Conrod 68127,68127,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2010 Alfa Romeo MiTo Exhaust Pressure Sensor 55200301,55200301,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
1999 Alfa Romeo 166 Headlight Dust Trim Cover 60955960,60955960,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2011 Alfa Romeo Giulietta Tailgate Gas Strut 50509830,50509830,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2006 Alfa Romeo 159 Engine Piston With Connecting Rod,,2006,Alfa Romeo,159,Diesel,Saloon,,120,1.9 (1910cm³)
2007 Alfa Romeo 147 Radio CD Player Head Unit 7646695316,7646695316,2007,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2007 Alfa Romeo Brera ABS Brake Pump 15314113,15314113,2007,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
2010 Alfa Romeo MiTo Accelerator Throttle Pedal 55702021,55702021,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
